Employee_No,Type_Full Day,Type_Half Day,apply_type_Anual,apply_type_Casual
347,16,6,11,11
348,5,7,5,7
351,4,6,0,10
356,6,6,0,12
373,15,6,14,7
376,5,0,0,5
393,6,0,5,1
421,17,4,14,7
423,15,9,16,8
425,13,3,11,5
437,7,3,10,0
440,14,13,16,11
481,1,1,0,2
516,25,9,11,23
517,15,28,34,9
545,8,4,1,11
547,18,9,25,2
550,7,2,0,9
551,22,8,20,10
556,22,9,19,12
557,8,4,5,7
580,7,2,3,6
596,2,2,0,4
597,20,18,28,10
664,31,12,19,24
712,11,1,0,12
1212,22,16,22,16
1306,16,7,11,12
1308,20,5,7,18
1325,1,0,0,1
1381,7,12,4,15
1385,0,1,1,0
1388,13,14,12,15
1399,16,7,15,8
1432,0,1,0,1
1657,34,8,14,28
1715,1,0,0,1
1918,4,2,0,6
1961,14,9,2,21
1964,3,3,1,5
1999,4,12,0,16
2036,10,6,0,16
2107,12,9,14,7
2163,1,4,0,5
2210,7,12,4,15
2225,8,8,13,3
2346,10,3,2,11
2371,2,0,0,2
2377,10,15,7,18
2384,11,3,7,7
2390,0,1,0,1
2391,0,1,0,1
2446,2,0,0,2
2458,0,5,0,5
2504,3,0,3,0
2531,1,0,1,0
2536,6,3,0,9
2565,0,2,0,2
2572,13,7,19,1
2601,1,1,0,2
2604,2,2,1,3
2642,1,2,0,3
2701,3,2,0,5
2734,0,4,0,4
2737,3,1,2,2
2813,1,0,0,1
2831,0,1,0,1
2972,1,2,0,3
3106,1,0,0,1
